player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Javon McIntyre,144029,S,PITTSBURGH,13,12,0,66.7,0,0,268,0,0,56.9,56.6,14.2,59.2,60.2,59.0,0,0,0,1,59,13.4,9,0,2,105.5,26,0,0,246,2,379,678,3,0,0,3,0,223,675,1,298,203,18,46,1,39,0,3,308,159,11.8
Duce Chestnut,144040,S,SYRACUSE,12,13,0,58.8,0,1,304,0,0,59.4,63.3,84.7,48.2,71.3,58.4,0,1,0,0,72,18.8,12,3,0,111.6,10,0,0,174,12,250,473,9,0,0,9,0,202,464,11,212,75,13,39,1,17,1,1,167,140,16.7
Elijah Fuentes-Cundiff,144045,DI,SYRACUSE,12,1,0,,0,0,304,0,0,60.0,55.4,78.3,59.9,52.1,75.3,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,89,89,11,72,0,6,0,0,42,47,0,4,3,0,0,2,0,0,0,
Jatius Geer,144047,ED,S CAROLINA,10,5,0,,0,1,289,1,1,61.8,76.0,48.3,82.7,66.5,45.4,3,7,0,0,,21.4,3,0,1,0.0,0,2,0,1,0,2,205,204,0,0,203,1,0,1,93,110,0,6,6,1,0,12,0,0,0,
Terry Lockett Jr.,144053,DI,JAMES MAD,14,10,0,,0,0,197,0,0,64.7,71.3,83.6,60.3,72.9,62.1,1,7,0,0,,6.9,2,0,0,0.0,0,0,0,0,0,0,387,387,11,290,34,52,0,0,198,189,0,12,17,1,0,8,0,0,0,
Derek McDonald,144059,LB,SYRACUSE,3,2,0,80.0,0,0,304,0,0,54.3,50.0,82.0,57.8,47.3,82.5,1,0,0,0,34,0.0,0,1,0,158.3,4,0,0,56,0,39,90,22,0,0,22,0,0,68,11,40,12,2,6,1,5,1,1,69,34,17.3
Tommy Porter,144064,S,SYRACUSE,1,0,0,,0,0,304,0,0,,60.0,64.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Chase Simmons,144067,TE,SYRACUSE,4,2,0,,0,0,304,0,0,65.5,66.1,79.7,61.4,59.1,43.7,0,4,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,93,93,0,5,68,20,0,0,51,42,0,2,3,1,0,4,0,0,0,
Mattheus Carroll,144071,ED,KENT STATE,12,4,0,75.0,0,0,201,0,0,58.6,61.8,32.7,58.9,67.1,74.0,2,9,0,0,10,5.3,1,0,3,93.8,3,0,0,2,0,28,474,471,0,6,451,14,0,3,218,228,1,10,14,1,4,11,0,28,15,9.3
Will Johnson,144083,LB,VA TECH,2,0,0,,0,0,337,0,0,60.3,65.8,69.9,60.0,65.6,73.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,2,7,1,0,0,1,0,0,6,1,4,0,0,1,0,0,1,0,0,0,
Jaden Keller,144086,LB,VA TECH,11,8,0,88.9,0,1,337,0,0,48.5,54.2,82.5,60.5,59.2,53.0,0,2,0,0,20,17.5,11,1,0,100.0,24,1,0,369,0,184,399,7,0,0,7,0,0,392,19,196,23,23,44,2,27,3,0,216,205,9.0
Keli Lawson,144087,LB,UCF,12,4,0,76.9,0,0,323,1,1,49.8,53.5,48.6,60.4,57.0,67.9,2,4,0,0,35,12.1,4,0,1,99.8,20,1,0,245,0,159,366,109,0,0,109,0,0,257,29,178,11,19,25,0,26,7,0,210,157,10.5
CJ McCray,144091,ED,CINCINNATI,10,4,0,,0,0,138,0,0,60.0,59.5,80.1,66.1,49.4,77.2,1,5,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,112,112,0,5,64,43,0,0,67,45,0,1,0,0,0,7,0,0,0,
Jayden McDonald,144092,LB,UCF,9,2,0,83.3,0,0,323,0,0,57.3,70.3,81.9,70.2,77.9,59.2,0,1,0,1,15,13.3,2,1,0,54.9,5,0,0,105,0,57,135,23,0,0,23,0,0,112,6,72,7,7,11,0,6,1,0,40,50,8.0
Jalen Stroman,144106,S,NOTRE DAME,11,9,0,69.2,0,0,258,0,0,77.9,79.8,84.0,59.8,81.2,65.6,0,1,1,1,86,11.4,5,1,0,94.7,9,1,0,102,4,204,335,3,0,0,3,0,191,332,3,128,33,14,30,2,13,2,1,129,101,14.3
Cade Denhoff,144114,ED,CLEMSON,13,10,1,50.0,0,0,140,0,0,69.7,72.3,87.6,62.5,74.6,67.8,3,12,0,0,21,10.7,3,0,0,87.5,1,0,0,0,0,22,334,333,0,4,301,28,0,1,177,135,0,10,15,2,2,15,0,21,5,21.0
