player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Sam Leavitt,175465,QB,ARIZONA ST,7,68.3,227,239,9.1,2.94,5,18,6.9,60.3,144,0,87,7.1,287,11,89,110,65.6,76.4,67.4,83.2,1,3,310,2,23.0,89.4,7.0,20,28,1,5,10,12,3.9,1628,6.8
Grayson Loftis,170054,QB,CHARLOTTE,11,66.3,205,234,10.0,2.81,3,15,6.2,54.7,128,0,103,5.9,267,8,60,136,68.9,58.8,61.8,46.4,7,8,277,1,21.4,70.0,8.2,22,10,1,18,8,13,4.7,1415,6.0
Tucker Kilcrease,156863,QB,TROY,10,71.1,197,224,10.7,2.87,11,10,4.2,58.0,130,0,118,7.1,294,10,86,318,58.7,60.4,60.8,57.1,2,6,308,1,28.8,81.1,11.6,34,34,2,12,9,10,3.2,1528,6.8
AJ Swann,157186,QB,APP STATE,7,72.1,208,221,9.9,2.51,3,11,4.7,58.8,130,0,69,13.3,237,20,77,108,45.9,65.3,66.2,52.6,3,8,250,2,14.5,79.3,4.2,10,6,0,7,10,14,5.6,1494,6.8
AJ Hairston,184157,QB,UMASS,10,64.6,195,220,9.3,3.0,4,5,2.2,49.5,109,0,125,13.5,254,17,53,216,50.8,56.3,58.5,51.1,9,4,269,4,12.0,60.5,5.9,15,19,0,12,4,7,2.6,985,4.5
Lunch Winfield,176367,QB,LA LAFAYET,11,68.3,202,217,11.4,2.89,3,7,3.0,58.5,127,0,104,8.0,262,11,77,207,45.2,65.9,57.3,71.0,5,7,279,4,15.4,84.1,6.1,16,29,3,4,11,10,3.6,1554,7.2
JJ Kohl,174674,QB,APP STATE,8,72.8,202,217,8.7,2.55,5,12,5.3,61.3,133,0,73,9.5,237,14,80,108,55.0,67.5,66.0,63.5,7,2,248,3,12.3,95.9,3.8,9,11,0,3,12,10,4.0,1465,6.8
Rodney Tisdale Jr.,188754,QB,W KENTUCKY,8,72.7,205,216,8.0,2.58,1,6,2.6,64.8,140,0,62,6.0,245,9,77,346,69.2,63.9,63.0,62.3,1,7,259,2,22.6,84.3,5.7,14,15,1,8,9,10,3.9,1440,6.7
Jackson Arnold,173684,QB,AUBURN,10,73.5,200,215,7.3,2.84,3,5,2.2,63.3,136,0,94,7.5,279,11,71,115,56.8,66.2,57.2,74.3,2,2,295,3,33.0,85.6,11.1,31,33,0,10,6,9,3.1,1309,6.1
Skyler Locklear,164027,QB,UTEP,9,69.8,189,213,10.7,3.09,3,11,4.9,55.4,118,0,102,10.6,256,14,64,330,66.6,64.5,52.0,78.0,1,11,274,2,14.7,74.8,5.9,15,27,0,20,13,10,3.6,1415,6.6
Caden Creel,170414,QB,JVILLE ST,14,74.1,193,211,8.3,3.33,4,8,3.5,61.6,130,0,106,9.1,287,13,87,196,41.0,66.7,59.8,68.9,3,4,309,5,17.9,89.7,6.6,19,57,0,11,9,8,2.6,1519,7.2
Joe Labas,144847,QB,C MICHIGAN,13,78.2,197,208,8.1,2.78,4,10,4.5,70.7,147,0,92,4.5,232,7,75,134,28.8,68.2,67.9,58.2,0,6,248,2,21.7,106.9,8.6,20,4,1,6,13,11,4.4,1854,8.9
Kaidon Salter,132046,QB,COLORADO,9,74.1,185,206,8.9,3.22,3,7,3.2,61.7,127,0,100,7.3,265,10,83,143,72.3,64.4,54.0,74.3,1,7,277,3,17.0,84.1,6.4,17,41,1,16,10,12,4.3,1414,6.9
Aidan Chiles,173727,QB,MICH STATE,8,70.5,190,204,9.2,3.12,0,6,2.8,62.3,127,0,89,5.2,246,7,71,223,29.7,63.4,56.6,73.0,1,3,261,2,21.3,92.6,7.7,19,20,0,13,10,8,3.1,1391,6.8
